time,S,I,R
0.0,990.0,10.0,0.0
0.5,988.4406933856287,11.033873635014437,0.5254329793568957
1.0,986.7232347705751,12.1716473347049,1.1051178947199918
1.5,984.8323948318971,13.423113790919508,1.7444913771833572
2.0,982.7516527258447,14.798848161913986,2.4494991122413476
2.5,980.463124586917,16.310239638765744,3.2266357743171747
3.0,977.9474968652736,17.969516743343554,4.082986391383026
3.5,975.1839670954971,19.78976413226629,5.0262687722367
4.0,972.15019522031,21.78492827204457,6.064876507645554
4.5,968.8222691787558,23.969808907372244,7.207921913872077
5.0,965.174689101375,26.360032777045685,8.46527812157948
5.5,961.1803751203807,28.97200555569281,9.84761932392653
6.0,956.8107044780439,31.822837537064448,11.366457984891735
6.5,952.0355842685105,34.93023815753189,13.034177573957704
7.0,946.8235667321193,38.3123741283801,14.864059139500721
7.5,941.1420144780747,41.98768575572334,16.87029976620229
8.0,934.9573232670986,45.97465604277489,19.068020690126822
8.5,928.2352099511095,50.29152746793185,21.473262580958927
9.0,920.9410727386993,54.95596200075289,24.10296526054794
9.5,913.0404300194137,59.984641049413135,26.974928931173466
10.0,904.499442418832,65.39280371987229,30.10775386129603
10.5,895.285520458758,71.19372409038304,33.52075545085929
11.0,885.3680170715556,77.39813122257287,37.23385170587169
11.5,874.7190002129576,84.01357935869166,41.26742042835086
12.0,863.3140959425546,91.04378014994582,45.64212390749968
12.5,851.13338668929,98.48791369889287,50.37869961181748
13.0,838.162343191379,106.33994045688091,55.497716351740436
13.5,824.3927621212848,114.5879412622249,61.01929661649056
14.0,809.823675132829,123.2135175914199,66.96280727575169
14.5,794.4621895766661,132.19128788284607,73.34652254048825
15.0,778.3242170897674,141.4885179774454,80.18726493278757
15.5,761.435044376056,151.06492369731046,87.50003192663391
16.0,743.8297014152203,160.87268081899109,95.29761776578918
16.5,725.5530865776316,170.85667182797516,103.5902415943938
17.0,706.6598159499702,180.9549897587284,112.38519429130187
17.5,687.2137755118384,191.09970736392629,121.68651712423566
18.0,667.2873691676542,201.21790543291587,131.49472539943034
18.5,646.9604721338783,211.23293828439876,141.80658958172336
19.0,626.3191165485938,221.06589858955053,152.61498486185624
19.5,605.4539529026514,230.63722921248737,163.90881788486166
20.0,584.4585454118117,239.8684181552259,175.67303643296287
20.5,563.4275703140754,248.68370523110488,187.88872445482016
21.0,542.4549921774201,257.0117266416336,200.53328118094677
21.5,521.6322940279417,264.78702654752846,213.58067942453025
22.0,501.0468324290707,271.9513727684307,227.00179480249903
22.5,480.7803791153368,278.4548261225382,240.76479476212543
23.0,460.90789746053053,284.2565283885238,254.83557415094606
23.5,441.4965863276341,289.32519093228245,269.17822274008387
24.0,422.6052072328135,293.6392831238979,283.75550964328926
24.5,404.28369472345133,297.1869353459117,298.5293699306376
25.0,386.57303565689114,299.965584526506,313.4613798166035
25.5,369.5053915653807,301.9813999749726,328.5132084596475
26.0,353.1044300038001,303.24853352599985,343.64703647020093
26.5,337.3858258180548,303.7882406765716,358.8259335053746
27.0,322.3578914373638,303.6279189001059,374.0141896625314
27.5,308.0222961398148,302.8001062349111,389.17759762527544
28.0,294.3748371839353,301.3414782639186,404.28368455214746
28.5,281.40623010654787,299.2918754398436,419.30189445361
29.0,269.1028907501705,296.6933860155771,434.20372323425374
29.5,257.44768716942707,293.5895031584568,448.9628096721175
30.0,246.4206450489654,290.0243685738742,463.55498637716175
30.5,235.99959533473813,286.04210942000225,477.958295245261
31.0,226.16075723664085,281.6862706208565,492.1529721425041
31.5,216.87925350034058,276.99934093725886,506.12140556240195
32.0,208.12955784357183,272.02236831451916,519.8480738419103
32.5,199.88587673749413,266.79465801785017,533.319465244657
33.0,192.1224693542815,261.3535457852163,546.5239848605034
33.5,184.81391058614417,255.73423755097144,559.4518518628856
34.0,177.93530266467639,249.96970709890675,572.0949902364181
34.5,171.46244116778132,244.0906431740692,584.4469156581508
35.0,165.371941182173,238.12543801557496,596.5026208022534
35.5,159.64132916957382,232.100209879798,608.2584609506295
36.0,154.24910572897113,226.03885283315662,619.7120414378734
36.5,149.17478400809614,219.9631078501468,630.8621081417582
37.0,144.39890803556185,213.8926500131431,641.7084419512962
37.5,139.90305475157047,207.8451873456541,652.2517579027766
38.0,135.66982303185705,201.8365674999258,662.4936094682183
38.5,131.68281254158657,195.88088915066146,672.4362983077531
39.0,127.92659483268213,189.99061551284498,682.082789654474
39.5,124.38667871466441,184.17668790138487,691.4366333839519
40.0,121.04947158748925,178.44863768487338,700.5018907276385
40.5,117.9022381247893,172.81469535865114,709.2830665165607
41.0,114.93305743554264,167.28189577836554,717.785046786093
41.5,112.13077960872867,161.85617885979735,726.0130415314751
42.0,109.48498235568096,156.54248526964076,733.9725323746794
42.5,106.9859283050678,151.34484681083833,741.669224884095
43.0,104.6245233721809,146.26647135040162,749.1090052774186
43.5,102.39227651407619,141.30982225240493,756.29790123352
44.0,100.28126109190828,136.47669236856993,763.2420465395229
44.5,98.28407798862324,131.76827270761495,769.9476493037629
45.0,96.39382057142015,127.18521595589053,776.4209634726905
45.5,94.60404154175626,122.7276950588508,782.668263399394
46.0,92.90872167914424,118.39545709828315,788.6958212225737
46.5,91.3022404568337,114.18787271619281,794.5098868269746
47.0,89.77934848619468,110.10398134472982,800.1166701690767
47.5,88.33514173096202,106.14253250414801,805.5223257648911
48.0,86.96503742138829,102.3020234288301,810.7329391497827
48.5,85.66475159089302,98.58073327599378,815.7545151331143
49.0,84.43027815324248,94.97675416370744,820.5929676830511
49.5,83.25786943602677,91.48801927501933,825.2541112889552
50.0,82.14401808571236,88.1123282539248,829.7436536603641
50.5,81.08544026042104,84.8473701070326,834.0671896325476
51.0,80.07906002847979,81.69074381250853,838.2301961590128
51.5,79.12199489342956,78.63997682546476,842.2380282811068
52.0,78.2115423693499,75.69254165664275,846.0959159740084
52.5,77.34516753387933,72.84587068917665,849.8089617769451
53.0,76.52049149004637,70.09736938654237,853.3821391234126
53.5,75.73528067186696,67.4444280335844,856.82029129455
54.0,74.98743693252683,64.88443214182493,860.1281309256495
54.5,74.27498835778633,62.41477164013493,863.31024000208
55.0,73.59608075097633,60.032848962304,866.3710702867212
55.5,72.9489697395597,57.73608613408886,869.314944126353
56.0,72.33201345669052,55.52193095394559,872.1460555893655
56.5,71.74366575449693,53.387862353843985,874.8684718916606
57.0,71.18246990893377,51.33139501930637,877.4861350717616
57.5,70.64705277899277,49.35008334108424,880.0028638799248
58.0,70.13611938582203,47.44152476466006,882.4223558495197
58.5,69.64844787989287,45.60336259801016,884.7481895220988
59.0,69.18288486676825,43.83328833276272,886.9838268004709
59.5,68.73834106427566,42.12904352900182,889.1326154067243
60.0,68.31378726597885,40.4884213094792,891.1977914245438
60.5,67.90825058778223,38.909267504872034,893.1824819073476
61.0,67.52081097629929,37.38948148794165,895.0897075357609
61.5,67.15059795927881,35.9270167309807,896.9223853097423
62.0,66.7967876199201,34.51988111776048,898.6833312623214
62.5,66.45859977832662,33.16613703828428,900.3752631833913
63.0,66.13529536465772,31.863901291995674,902.000803343349
63.5,65.82617396974422,30.61134482266237,903.5624812075959
64.0,65.53057156004667,29.40669230593959,905.0627361340164
64.5,65.24785834485924,28.2482216085931,906.5039200465503
65.0,64.97743678460576,27.134263136517063,907.8883000788798
65.5,64.71873972994253,26.063199086999127,909.218061183061
66.0,64.47122868218132,25.03346261915272,910.4953086986685
66.5,64.23439216628172,24.043536955040814,911.72207087868
67.0,64.00774420833756,23.09195442274504,912.9003013689199
67.5,63.79082291010481,22.17729545147865,914.031881638419
68.0,63.58318911369059,21.2981875277912,915.1186233585207
68.5,63.384425150049005,20.45330412095819,916.1622707289953
69.0,63.19413366541461,19.641363584781942,917.1645027498059
69.5,63.01193652024932,18.861128042242925,918.1269354375103
70.0,62.83747375568897,18.11140225872695,919.0511239855866
70.5,62.67040262285316,17.39103250890631,919.938564868243
71.0,62.5103966707293,16.698905441766573,920.7906978875067
71.5,62.357144888661665,16.03394694773982,921.608908163601
72.0,62.21035089977096,15.395121031424697,922.3945280688068
72.5,62.06973220190085,14.781428692939365,923.1488391051623
73.0,61.935019452938384,14.191906820561215,923.8730737265029
73.5,61.80595579758514,13.625627096953043,924.5684171054643
74.0,61.68229623286849,13.081694920956203,925.2360088461778
74.5,61.56380700987827,12.559248346643752,925.8769446434804
75.0,61.45026506939474,12.05745704106782,926.4922778895401
75.5,61.341457509240186,11.575521261902972,927.0830212288597
76.0,61.23718108134083,11.112670855978763,927.6501480626832
76.5,61.13724171662733,10.668164279507634,928.1945940038679
77.0,61.041454076033574,10.24128764064706,928.7172582833222
77.5,60.94964112597482,9.831353764885499,929.2190051091427
78.0,60.861633736798005,9.437701283608424,929.7006649795966
78.5,60.77727030280122,9.05969374608244,930.1630359511194
79.0,60.69639638251461,8.696718754990172,930.6068848624982
79.5,60.61886435802416,8.34818712555579,931.032948516423
80.0,60.54453311220191,8.013532068218879,931.4419348195821
80.5,60.47326772278191,7.692208394742261,931.834523882479
81.0,60.40493917229222,7.383691747576169,932.2113690801348
81.5,60.339424072918376,7.087477852246168,932.5730980748386
82.0,60.27660440543426,6.803081792484349,932.9203138020846
82.5,60.21636727139271,6.530037307782257,933.2535954208282
83.0,60.15860465782043,6.267896113008736,933.573499229174
83.5,60.10321321371009,6.016227239706038,933.880559546587
84.0,60.0500940376477,5.774616398652458,934.175289563703
84.5,59.99915247595506,5.542665363259061,934.4581821607891
85.0,59.95029793076606,5.319991373351162,934.729710695886
85.5,59.903443677491936,5.10622655887187,934.9903297636394
86.0,59.85850669116396,4.901017383034666,935.2404759258045
86.5,59.81540748117389,4.704024104444507,935.480568414385
87.0,59.774069933961236,4.514920257701836,935.7110098083405
87.5,59.73442116322408,4.333392152001018,935.9321866847785
88.0,59.696391367255316,4.15913838723376,936.1444702455144
88.5,59.65991369302995,3.9918693871088484,936.3482169198647
89.0,59.62492410669121,3.8313069488017626,936.5437689445106
89.5,59.591361270104024,3.6771838086513626,936.7314549212481
90.0,59.5591664231635,3.529243223425518,936.9115903534147
90.5,59.52828327156404,3.3872385666833047,937.0844781617564
91.0,59.49865787975214,3.250932939767988,937.2504091804835
91.5,59.47023856880074,3.1200987969723153,937.4096626342306
92.0,59.44297581895879,2.994517584425615,937.5625065966192
92.5,59.41682217664282,2.87397939226067,937.7091984311002
93.0,59.39173216565047,2.7582826196272503,937.849985214726
93.5,59.36766220238835,2.6472336521284667,937.9851041454868
94.0,59.34457051491753,2.5406465512656617,938.1147829338205
94.5,59.32241706563098,2.4383427554873287,938.2392401788853
95.0,59.30116347738732,2.3401507924474942,938.3586857301689
95.5,59.280772962934435,2.2459060020890416,938.4733210349801
96.0,59.261210257465635,2.1554502701775697,938.5833394723604
96.5,59.242441554159136,2.0686317719215164,938.688926673923
97.0,59.22443444255973,1.9853047253244058,938.7902608321195
97.5,59.20715784966863,1.9053291539251593,938.8875129964099
98.0,59.19058198361455,1.8285706585924186,938.9808473577966
98.5,59.174678279785645,1.7549001980487549,939.0704215221692
99.0,59.159419349307974,1.6841938778104315,939.1563867728854
99.5,59.144778929762026,1.61633274723806,939.2388883230037
100.0,59.1307318380345,1.55120260440301,939.3180655575663
